CODE;CATEGORY;CLASS
0;Dummy;DUMMY_CLASS
1;Item;ITEM.TITLE
2;Item;ITEM.ALBUM
3;Item;ITEM.TRACKNUMBER
4;Item;ITEM.ARTIST
5;Item;ITEM.COMPOSITION
6;Item;ITEM.MOVEMENT
7;Item;ITEM.CONDUCTOR
8;Item;ITEM.COMPOSER
9;Item;ITEM.BAND
10;Item;ITEM.COMMENT
11;Item;ITEM.GENRE
12;Info;INFO.NEWS
13;Info;INFO.NEWS.LOCAL
14;Info;INFO.STOCKMARKET
15;Info;INFO.SPORT
16;Info;INFO.LOTTERY
17;Info;INFO.HOROSCOPE
18;Info;INFO.DAILY_DIVERSION
19;Info;INFO.HEALTH
20;Info;INFO.EVENT
21;Info;INFO.SCENE
22;Info;INFO.CINEMA
23;Info;INFO.TV
24;Info;INFO.DATE_TIME
25;Info;INFO.WEATHER
26;Info;INFO.TRAFFIC
27;Info;INFO.ALARM
28;Info;INFO.ADVERTISEMENT
29;Info;INFO.URL
30;Info;INFO.OTHER
31;Programme;STATIONNAME.SHORT
32;Programme;STATIONNAME.LONG
33;Programme;PROGRAMME.NOW
34;Programme;PROGRAMME.NEXT
35;Programme;PROGRAMME.PART
36;Programme;PROGRAMME.HOST
37;Programme;PROGRAMME.EDITORIAL_STAFF
38;Programme;PROGRAMME.FREQUENCY
39;Programme;PROGRAMME.HOMEPAGE
40;Programme;PROGRAMME.SUBCHANNEL
41;Interactivity;PHONE.HOTLINE
42;Interactivity;PHONE.STUDIO
43;Interactivity;PHONE.OTHER
44;Interactivity;SMS.STUDIO
45;Interactivity;SMS.OTHER
46;Interactivity;EMAIL.HOTLINE
47;Interactivity;EMAIL.STUDIO
48;Interactivity;EMAIL.OTHER
49;Interactivity;MMS.OTHER
50;Interactivity;CHAT
51;Interactivity;CHAT.CENTRE
52;Interactivity;VOTE.QUESTION
53;Interactivity;VOTE.CENTRE
54;<rfu>;
55;<rfu>;
56;Private classes;
57;Private classes;
58;Private classes;
59;Descriptor;PLACE
60;Descriptor;APPOINTMENT
61;Descriptor;IDENTIFIER
62;Descriptor;PURCHASE
63;Descriptor;GET_DATA
