L;N;TEXT;TEXT_Q0;TEXT_Q1;TEXT_QN;COMMENT
A;1;stationary traffic;;;;
A;2;queuing traffic (with average speeds $Q);queuing traffic;;;
A;3;slow traffic (with average speeds $Q);slow traffic;;;
A;4;heavy traffic (with average speeds $Q);heavy traffic;;;
A;5;traffic flowing freely (with average speeds $Q);traffic flowing freely;;;
A;6;traffic building up (with average speeds $Q);traffic building up;;;
A;7;long queues (with average speeds $Q);long queues;;;
A;8;traffic easing;;;;
A;9;traffic congestion (with average speeds $Q);traffic congestion;;;
A;10;traffic lighter than normal (with average speeds $Q);traffic lighter than normal;;;
A;11;traffic heavier than normal (with average speeds $Q);traffic heavier than normal;;;
A;12;traffic very much heavier than normal (with average speeds $Q);traffic very much heavier than normal;;;
A;50;traffic problem;;;;
A;96;normal traffic;;;;
A;97;no problems to report;;;;
A;98;traffic congestion cleared;;;;
A;101;stationary traffic for 1 km;;;;
A;102;stationary traffic for 2 km;;;;
A;103;stationary traffic for 3 km;;;;
A;104;stationary traffic for 4 km;;;;
A;106;stationary traffic for 6 km;;;;
A;110;stationary traffic for 10 km;;;;
A;201;queuing traffic for 1 km (with average speeds $Q);queuing traffic for 1 km;;;
A;202;queuing traffic for 2 km (with average speeds $Q);queuing traffic for 2 km;;;
A;203;queuing traffic for 3 km (with average speeds $Q);queuing traffic for 3 km;;;
A;204;queuing traffic for 4 km (with average speeds $Q);queuing traffic for 4 km;;;
A;206;queuing traffic for 6 km (with average speeds $Q);queuing traffic for 6 km;;;
A;210;queuing traffic for 10 km (with average speeds $Q);queuing traffic for 10 km;;;
A;301;slow traffic for 1 km (with average speeds $Q);slow traffic for 1 km;;;
A;302;slow traffic for 2 km (with average speeds $Q);slow traffic for 2 km;;;
A;303;slow traffic for 3 km (with average speeds $Q);slow traffic for 3 km;;;
A;304;slow traffic for 4 km (with average speeds $Q);slow traffic for 4 km;;;
A;306;slow traffic for 6 km (with average speeds $Q);slow traffic for 6 km;;;
A;310;slow traffic for 10 km (with average speeds $Q);slow traffic for 10 km;;;
A;910;traffic congestion, average speed of 10 km/h;;;;
A;920;traffic congestion, average speed of 20 km/h;;;;
A;930;traffic congestion, average speed of 30 km/h;;;;
A;940;traffic congestion, average speed of 40 km/h;;;;
A;950;traffic congestion, average speed of 50 km/h;;;;
A;960;traffic congestion, average speed of 60 km/h;;;;
A;970;traffic congestion, average speed of 70 km/h;;;;
B;1;($Q) accident(s);accident(s);;;
B;2;($Q) serious accident(s);serious accident(s);;;
B;3;multi-vehicle accident (involving $Q vehicles);multi-vehicle accident;;;
B;4;accident involving (a/$Q) heavy lorr(y/ies);accident involving (a) heavy lorr(y/ies);;;
B;5;($Q) accident(s) involving hazardous materials;accident(s) involving hazardous materials;;;
B;6;($Q) fuel spillage accident(s);fuel spillage accident(s);;;
B;7;($Q) chemical spillage accident(s);chemical spillage accident(s);;;
B;8;vehicles slowing to look at ($Q) accident(s);vehicles slowing to look at accident(s);;;
